#REKENINGNUMMER;YEAR_FEE;GROS_FEE;NET_FEE;BTW
1014970;2021;216.75;179.13;37.62
1014971;2021;143.13;118.29;24.84
1014973;2021;335.89;277.6;58.29
1014974;2021;198.89;164.37;34.52
1014975;2021;162.74;134.5;28.24
1014983;2021;223.85;185;38.85
1014991;2021;669.67;553.44;116.23
1014998;2021;166.34;137.47;28.87
1015000;2021;76.72;63.41;13.31
1015006;2021;123.34;101.93;21.41
1015007;2021;115.73;95.64;20.09
1015011;2021;265.26;219.23;46.03
1015022;2021;647.84;535.41;112.43
1015029;2021;66.99;55.36;11.63
1015033;2021;90.54;74.82;15.72
1015034;2021;28.15;23.27;4.88
1015036;2021;514.8;425.45;89.35
1015038;2021;248.1;205.05;43.05
1015042;2021;329.23;272.09;57.14
1015043;2021;59.69;49.33;10.36
1015057;2021;267.46;221.04;46.42
1015073;2021;159.06;131.45;27.61
1015074;2021;313.24;258.88;54.36
1015075;2021;193.83;160.19;33.64
1015078;2021;1062.63;878.2;184.43
1015088;2021;226.03;186.8;39.23
1015090;2021;159.91;132.16;27.75
1015092;2021;77.64;64.17;13.47
1015101;2021;729.92;603.24;126.68
1015111;2021;134.3;110.99;23.31
1015124;2021;246.47;203.69;42.78
1015128;2021;114.71;94.8;19.91
1015130;2021;679.94;561.93;118.01
1015131;2021;251.24;207.64;43.6
1015132;2021;344.47;284.69;59.78
1015146;2021;160.11;132.33;27.78
1015149;2021;492.25;406.82;85.43
1015150;2021;692.81;572.56;120.25
1015151;2021;321.21;265.45;55.76
1015178;2021;217.43;179.7;37.73
1015179;2021;242.58;200.48;42.1
1015180;2021;12.65;10.45;2.2
1015190;2021;122.31;101.09;21.22
1015199;2021;221.61;183.15;38.46
1015201;2021;448.33;370.53;77.8
1015207;2021;136.43;112.76;23.67
1015219;2021;65.43;54.07;11.36
1015221;2021;316.65;261.7;54.95
1015227;2021;344.97;285.09;59.88
1015240;2021;155.29;128.34;26.95
1015245;2021;66.44;54.91;11.53
1015252;2021;2170.73;1793.99;376.74
1015269;2021;181.33;149.86;31.47
1015280;2021;251.68;207.99;43.69
1015293;2021;121.78;100.64;21.14
1015305;2021;97.73;80.76;16.97
1015313;2021;768.09;634.79;133.3
1015314;2021;452.57;374.04;78.53
1015352;2021;65.37;54.03;11.34
1015370;2021;281.09;232.3;48.79
1015374;2021;228.78;189.07;39.71
1015375;2021;330.98;273.53;57.45
1015376;2021;316.2;261.33;54.87
1015377;2021;102.48;84.7;17.78
1015383;2021;343.1;283.55;59.55
1015384;2021;164.21;135.71;28.5
1015402;2021;77.46;64.01;13.45
1015411;2021;115.3;95.28;20.02
1015423;2021;119.71;98.94;20.77
1015425;2021;298.31;246.54;51.77
1015426;2021;98.66;81.54;17.12
1015468;2021;67.19;55.52;11.67
1015483;2021;253.02;209.11;43.91
1015489;2021;67;55.37;11.63
1015492;2021;119.13;98.46;20.67
1015501;2021;467.34;386.24;81.1
1015509;2021;192.61;159.19;33.42
1015512;2021;63.14;52.18;10.96
1015520;2021;92.6;76.53;16.07
1015524;2021;71.6;59.18;12.42
1015532;2021;988.81;817.2;171.61
1015539;2021;64.59;53.39;11.2
1015540;2021;182.11;150.5;31.61
1015541;2021;235.63;194.73;40.9
1015565;2021;99.12;81.91;17.21
1015566;2021;120;99.17;20.83
1015572;2021;2425.08;2004.19;420.89
1015581;2021;680.91;562.74;118.17
1015582;2021;332.97;275.18;57.79
1015583;2021;108.69;89.84;18.85
1015658;2021;111.1;91.81;19.29
1015659;2021;69.15;57.16;11.99
1015688;2021;107.49;88.84;18.65
1015715;2021;14.8;12.23;2.57
1015716;2021;18.08;14.94;3.14
1015739;2021;253.56;209.55;44.01
1015741;2021;368.49;304.54;63.95
1015756;2021;593.92;490.85;103.07
1015796;2021;800.68;661.72;138.96
1015812;2021;1713.66;1416.25;297.41
1015813;2021;425.53;351.68;73.85
1015837;2021;380.29;314.29;66
1015859;2021;673.01;556.21;116.8
1015878;2021;1078.13;891.01;187.12
1015893;2021;661.62;546.8;114.82
1015902;2021;685.09;566.19;118.9
1015915;2021;86.77;71.72;15.05
1015971;2021;56.02;46.3;9.72
1015978;2021;223.66;184.84;38.82
1015989;2021;128.63;106.31;22.32
1016008;2021;179.02;147.95;31.07
1016031;2021;106.58;88.09;18.49
1016073;2021;194.59;160.82;33.77
1016087;2021;250.18;206.77;43.41
1016098;2021;631.88;522.21;109.67
1016106;2021;499.48;412.8;86.68
1016107;2021;153.6;126.95;26.65
1016117;2021;2424.56;2003.77;420.79
1016119;2021;61.64;50.94;10.7
1016124;2021;250.99;207.42;43.57
1016126;2021;802.18;662.96;139.22
1016152;2021;711.99;588.43;123.56
1016163;2021;1299.33;1073.82;225.51
1016172;2021;739.79;611.4;128.39
1016199;2021;60.68;50.14;10.54
1016200;2021;371.37;306.92;64.45
1016201;2021;114.07;94.27;19.8
1016211;2021;52.62;43.48;9.14
1016212;2021;444.55;367.4;77.15
1016218;2021;273.11;225.71;47.4
1016231;2021;111.07;91.79;19.28
1016232;2021;184.86;152.79;32.07
1016253;2021;538.43;444.99;93.44
1016261;2021;122.78;101.47;21.31
1016263;2021;61.28;50.64;10.64
