DATUM;OPEN;HIGH;LOW;KOERS
2017-02-15;701.65;701.65;701.65;701.65000
2017-02-16;696.69;696.69;696.69;696.69000
2017-02-17;699.38;699.38;699.38;699.38000
2017-02-20;700.14;700.14;700.14;700.14000
2017-02-21;708.01;708.01;708.01;708.01000
2017-02-22;707.48;707.48;707.48;707.48000
2017-02-23;705.79;705.79;705.79;705.79000
2017-02-24;705.7;705.7;705.7;705.70000
2017-02-27;703.04;703.04;703.04;703.04000
2017-02-28;701.29;701.29;701.29;701.29000
2017-03-01;712.42;712.42;712.42;712.42000
2017-03-02;711.78;711.78;711.78;711.78000
2017-03-03;709.4;709.4;709.4;709.40000
2017-03-06;705.88;705.88;705.88;705.88000
2017-03-07;705.04;705.04;705.04;705.04000
2017-03-08;704.51;704.51;704.51;704.51000
2017-03-09;703.43;703.43;703.43;703.43000
2017-03-10;702.31;702.31;702.31;702.31000
2017-03-13;703.17;703.17;703.17;703.17000
2017-03-14;702.09;702.09;702.09;702.09000
2017-03-15;707.13;707.13;707.13;707.13000
2017-03-16;704.36;704.36;704.36;704.36000
2017-03-17;703.72;703.72;703.72;703.72000
2017-03-20;702.1;702.1;702.1;702.10000
2017-03-21;693.52;693.52;693.52;693.52000
2017-03-22;692.48;692.48;692.48;692.48000
2017-03-23;694.49;694.49;694.49;694.49000
2017-03-24;693.76;693.76;693.76;693.76000
2017-03-27;688.39;688.39;688.39;688.39000
2017-03-28;694.71;694.71;694.71;694.71000
2017-03-29;701.65;701.65;701.65;701.65000
2017-03-30;703.93;703.93;703.93;703.93000
2017-03-31;704.16;704.16;704.16;704.16000
2017-04-03;705.29;705.29;705.29;705.29000
2017-04-04;705.02;705.02;705.02;705.02000
2017-04-05;703.63;703.63;703.63;703.63000
2017-04-06;704.3;704.3;704.3;704.30000
2017-04-07;706.68;706.68;706.68;706.68000
2017-04-10;708.46;708.46;708.46;708.46000
2017-04-11;707.14;707.14;707.14;707.14000
2017-04-12;705.94;705.94;705.94;705.94000
2017-04-13;701.94;701.94;701.94;701.94000
2017-04-18;698.7;698.7;698.7;698.70000
2017-04-19;697.01;697.01;697.01;697.01000
2017-04-20;698.02;698.02;698.02;698.02000
2017-04-21;701.57;701.57;701.57;701.57000
2017-04-24;701.55;701.55;701.55;701.55000
2017-04-25;701.3;701.3;701.3;701.30000
2017-04-26;704.75;704.75;704.75;704.75000
2017-04-27;705.1;705.1;705.1;705.10000
2017-04-28;702.46;702.46;702.46;702.46000
2017-05-02;704.92;704.92;704.92;704.92000
2017-05-03;703.39;703.39;703.39;703.39000
2017-05-04;702.38;702.38;702.38;702.38000
